A,B,y
1.5354648741007701,0.83140000461597,0.13906339668883916
2.851391088977806,1.650954755102225,0.5632641506742988
0.4324788381589012,1.6722266402727302,0.08526122377339317
2.8459483414117317,1.4969593569210446,0.5046900116547338
0.9354943560314564,1.2733907538962326,0.13615066029348977
1.269979346917727,1.7271154810172957,0.2610870929392506
2.4831077814613254,2.8999871861635147,0.8616084808423656
1.2275974091074837,1.3742386814583576,0.20821988563807164
1.6487810630191784,2.5124142653952144,0.49880979172481266
0.0826773397292051,0.1676158950956136,-0.005587438441222411
2.2605393260244195,1.1567617716901728,0.3098689012223959
1.6144299396578345,1.6814893309271974,0.3289916528385364
0.9891951494972765,1.8609616669648115,0.22959817925699816
2.365286110285213,0.7500550197960338,0.21466399973627667
0.909584487874935,1.1978730404597857,0.1321730539294079
1.3604936684419546,2.84101850620707,0.47235663946341105
0.40212509174149424,1.946552262035847,0.09382692099102323
1.2093389593413877,1.7548987452368838,0.2532544364200704
0.6103657220284489,0.1958961315595228,0.007866498998211523
0.7869400213255485,0.15652877292944312,0.012428564334362645
2.251094017890158,0.6341953434961939,0.18130840443956006
0.8412262739581198,0.413468327545899,0.03521780508193821
1.455572923294905,2.951249787819863,0.5155424431368615
2.942211599403716,0.008241442807992438,-0.0035493556225577602
2.88497158099136,1.0975305875415513,0.38055058503916656
2.174369822320601,0.17526734887140483,0.049802610926030784
1.6236805666423026,1.9200316749530297,0.37298470594188043
0.8306736121361125,0.13959960622457734,0.017265054749928045
0.4819560263253806,0.2052289066251669,0.015175420247082556
2.909776239648398,0.23982751682435666,0.08579155460148083
1.548205756643636,0.8153553939086385,0.15935191416044517
0.34759683741231095,1.7290742039899518,0.07569453148291785
1.8704692666125013,2.416345852892561,0.5409654183791486
2.330049343026894,0.8015747535037824,0.2210025322592028
1.8390099031591214,0.8495131697083992,0.1835946802439068
2.751893114372708,2.4734464318558107,0.8189817331486723
0.11877862999260858,2.2378451405289677,0.030412270541775255
1.585767789780065,0.3804442450720039,0.08491254295401987
1.3780076486562112,2.4190468041190707,0.4084659635072993
0.1870487374496268,2.4937533259058435,0.054990520889505665
1.9239845074181248,0.5334773507013176,0.12165873814379019
2.55789851544197,1.8808439957176608,0.5850727586017076
1.778823054312852,0.5902308654637138,0.11735215006074826
0.7802923432116696,0.7304781360842476,0.06632739511483988
2.5196445630942264,1.482017265985926,0.4524593416615139
1.5284876445645281,1.5666600838524254,0.28317124428809987
